parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
2,22,vanilla,dory,5289678,13013,105321,13697616,74506,78090
2,22,jellyfish,mkzg,6049916,5297,81781,25783680,50586,51450
2,22,jellyfish,dory,8615977,13505,117545,16154688,83706,87290
2,23,vanilla,mkzg,6968844,5072,75472,26730292,45154,45986
2,23,vanilla,dory,9911012,13152,110532,17091192,77538,81122
2,23,jellyfish,mkzg,11889273,5696,87536,31954032,54002,54898
2,23,jellyfish,dory,16671676,13724,123236,22112656,87090,90674
2,24,vanilla,mkzg,13585760,5229,80934,33551216,48322,49186
2,24,vanilla,dory,17689416,13914,119056,23939408,83266,87138
2,24,jellyfish,mkzg,23421925,5808,93478,43473220,57522,58450
2,24,jellyfish,dory,30404438,14387,132240,33886836,93170,97042
2,25,vanilla,mkzg,26891855,5662,86583,47150320,51594,52490
2,25,vanilla,dory,34044627,14010,124641,37543436,86506,90378
2,25,jellyfish,mkzg,46843507,5746,99607,67149248,61146,62106
2,25,jellyfish,dory,60050850,14643,138305,57575940,96762,100634
2,26,vanilla,mkzg,54999449,5792,92419,74395816,54970,55898
2,26,vanilla,dory,63021704,15010,133539,64909640,92442,96602
2,26,jellyfish,mkzg,93870616,6166,105923,114363972,64874,65866
2,26,jellyfish,dory,111486710,15458,147683,105039712,103050,107210
